[Header]
TITLE,heat_capacity_multifield.dat
BYAPP,HeatCapacity,3.9.6,1.7
INFO,5.0,MASS:Sample Mass (mg)
INFO,0.01,MASSERR:Sample Mass Error (mg)
INFO,950.0,MOLWGHT:Formula Weight (g/mole)
INFO,1,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (mJ/mole-K),Samp HC Err (mJ/mole-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (mJ/mole-K/K),Addenda Offset HC (µJ/K)
0.00000,anonymized
3646.20157,,1857,8.15262,8.15262,0.48746994,9.8999999E-6,8.1426024,0.16214333,6458.6545,22.71,5.4332483,0.06601,36.166631,0.08374,22.016067,4.1665322,0.033553702,93.489016,49.480148,0.1216,1,,,,9.1205368E-6,8.009244,66.301975,793.19291,0
3784.50819,,1857,8.35794,8.35794,0.54371649,9.8999999E-6,8.348417,0.16620985,6931.9232,24.2,5.8015031,0.07029,38.786926,0.08883,22.267023,4.334507,0.035092886,93.427545,48.947643,0.124,1,,,,9.4075866E-6,8.3330644,69.696066,830.32786,0
3923.99016,,1857,8.56295,8.56295,0.46872109,9.8999999E-6,8.5544894,0.17085045,7404.5326,25.87,6.1859166,0.07479,41.420242,0.09497,8.6806522,4.504839,0.036597468,93.395127,48.447447,0.1276,1,,,,9.6691878E-6,8.6690139,73.179289,865.57271,0
4067.12009,,1857,8.76854,8.76854,0.50621879,9.8999999E-6,8.7609939,0.17522181,7894.5265,26.99,6.5827916,0.07939,44.148743,0.09761,21.373633,4.6308967,0.037686694,93.373781,47.910434,0.1287,1,,,,1.0027579E-5,9.009678,76.755013,901.09942,0
4210.01023,,1857,8.97356,8.97356,0.54371649,9.8999999E-6,8.9673726,0.178894,8424.4678,29.14,7.0010005,0.08424,47.088668,0.1063,9.2487215,4.825505,0.039433751,93.328148,47.257962,0.1341,1,,,,1.0268261E-5,9.2617933,80.413771,939.45777,0
4355.71875,,1857,9.17853,9.17853,0.48746994,9.8999999E-6,9.1744906,0.18343922,8954.242,30.86,7.4367119,0.08931,50.045299,0.1122,12.640553,4.9600399,0.040762026,93.285953,46.626505,0.1378,1,,,,1.0620688E-5,9.6510099,84.171279,975.99336,0
4499.29511,,1857,9.38415,9.38415,0.59996301,9.8999999E-6,9.3802553,0.1872102,9505.883,32.97,7.8858434,0.0945,53.119404,0.1204,31.294343,5.1400008,0.042707461,93.203087,45.930059,0.1431,1,,,,1.0885833E-5,9.9200797,87.989189,1013.3928,0
4643.72399,,1857,9.58888,9.58888,0.52496761,9.8999999E-6,9.5869497,0.1921411,10060.342,34.4,8.347464,0.09976,56.219405,0.1244,18.440849,5.2860782,0.043915491,93.205029,45.236143,0.146,1,,,,1.1202534E-5,10.280002,91.909605,1049.3788,0
4791.57371,,1857,9.79524,9.79524,0.54371649,9.8999999E-6,9.7932619,0.19618704,10634.281,36.25,8.828855,0.1051,59.431875,0.1308,27.616822,5.4439884,0.045590258,93.151468,44.483578,0.1506,1,,,,1.1504021E-5,10.572156,95.907978,1085.8773,0
4938.78416,,1857,9.99967,9.99967,0.48746994,9.8999999E-6,10.001561,0.20057868,11235.477,38.53,9.3311638,0.1106,62.794966,0.1396,9.5099541,5.6190055,0.047217336,93.128853,43.658456,0.157,1,,,,1.1778496E-5,10.887977,100.03123,1123.3724,0
5110.43827,,1857,10.5002,10.5002,0.50621879,9.8999999E-6,10.503162,0.21047247,12687.566,42.63,10.600034,0.1241,70.973572,0.1522,8.4250698,5.9755885,0.051076855,93.037712,41.620039,0.1688,1,,,,1.2526248E-5,11.146048,110.31642,1207.9758,0
5264.28157,,1857,11.0134,11.0134,0.50621879,9.8999999E-6,11.021766,0.21668176,14313.294,48.34,12.016166,0.1391,80.1257,0.1732,8.4054665,6.3648743,0.055414362,92.929327,39.048574,0.1888,1,,,,1.3287241E-5,11.951177,121.47934,1298.6389,0
5421.55248,,1857,11.5262,11.5262,0.52496761,9.8999999E-6,11.53868,0.22891085,15993.482,53.76,13.530191,0.1553,89.634866,0.192,20.601808,6.7388187,0.059577759,92.85731,36.114105,0.2123,1,,,,1.4045801E-5,12.729749,133.14113,1386.0756,0
5582.68798,,1857,12.0415,12.0415,0.52496761,9.8999999E-6,12.055023,0.24053588,17783.903,59.64,15.114613,0.1721,99.738973,0.2126,14.905713,7.1451016,0.064029416,92.781549,32.53308,0.2453,1,,,,1.474835E-5,13.477637,145.32359,1475.2276,0
5746.14515,,1857,12.554,12.554,0.44997227,9.8999999E-6,12.5724,0.25227134,19575.875,65.41,16.744375,0.1891,109.8958,0.2324,1.651015,7.4454148,0.067698463,92.706875,28.412704,0.2924,1,,,,1.5602572E-5,14.290203,158.06523,1557.0516,0
5910.73338,,1857,13.0679,13.0679,0.48746994,9.8999999E-6,13.087785,0.26322054,21518.236,72.06,18.449315,0.2067,120.84343,0.2565,8.3485106,7.9381343,0.072734919,92.661501,22.855802,0.3802,1,,,,1.6097219E-5,14.89083,171.29012,1644.1465,0
6079.01716,,1857,13.5809,13.5809,0.56246531,9.8999999E-6,13.606305,0.2761826,23498.085,77.45,20.248527,0.2243,132.06371,0.2722,6.0262391,8.2110243,0.076237112,92.588057,14.961428,0.6026,1,,,,1.7015855E-5,15.876269,185.13153,1726.9998,0
