[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,magnetization_vsm_multifield.dat
FILEOPENTIME,0.00,09/01/2026,12:00 am
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,anonymized,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,anonymized,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,anonymized,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A1,OVEN_HW_VERSION
INFO,anonymized,OVEN_SERIAL_NUMBER
INFO,01.06.24,OVEN_SOFTWARE_VERSION
INFO,anonymized,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,anonymized,SAMPLE_MATERIAL
INFO,anonymized,SAMPLE_COMMENT
INFO,anonymized,SAMPLE_MASS
INFO,anonymized,SAMPLE_VOLUME
INFO,anonymized,SAMPLE_MOLECULAR_WEIGHT
INFO,anonymized,SAMPLE_SIZE
INFO,anonymized,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
INFO,300.0,MOLWGHT:Formula Weight (g/mole)
INFO,1.25,MASS:Sample Mass (mg)
INFO,1,ATOMS:Atoms per Formula Unit
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,961.2545,17.9148054122925,99.8282203674316,1.13156135866281E-5,1.26820038010525E-7,1,1.99850670813958,40.0298881530762,1.99485334122231,18.2199999690056,0.000128864196549505,1.61780993815594E-5,0.25,-6.08553291607244E-7,1.1171213932485E-5,-5.46469178324691E-7,17.8993988037109,17.8993988037109,99.81884765625,99.8375930786133,55.2595730525828,20.2818280998168,0.478316634893417,0,0,0,80,17.9979991912842,2,4,1,2.22869873046875,41.055721282959,,,,,,,,,,,,,,,,
,1009.2155,18.6512317657471,99.8282203674316,1.1360982123892E-5,1.46438072300693E-7,1,1.99850670813958,40.0298881530762,1.99496491807094,18.2199999690056,0.000129051797283954,1.81081765350035E-5,0.25,-4.45776166020539E-7,1.12152700189382E-5,-3.85531803052811E-7,18.6470470428467,18.6470470428467,99.8000946044922,99.8563461303711,55.5433042050636,20.282676934245,1.50821459293365,0,0,0,80,18.65696144104,2,4,1,2.21435546875,43.0107536315918,,,,,,,,,,,,,,,,
,1057.1655,19.4959096908569,99.8563461303711,1.14549445959882E-5,1.16872747915668E-7,1,1.99850670813958,40.0298881530762,1.99491278843672,18.2199999690056,0.000130484740871421,1.62226891556701E-5,0.25,-6.300197917397E-7,1.13090142347607E-5,-5.6679991370003E-7,19.4807300567627,19.4807300567627,99.81884765625,99.8938446044922,55.2431588536789,20.2838307067493,2.00340676307678,0,0,0,80,19.5817489624023,2,4,1,2.22900390625,41.5444793701172,,,,,,,,,,,,,,,,
,1105.1410,20.2962865829468,99.8188438415527,1.14248831777519E-5,1.41970103472093E-7,1,1.99850670813958,40.0298881530762,1.99488180837715,18.2199999690056,0.000130117268113547,1.63191170684418E-5,0.25,-6.16231797662152E-7,1.12794474229305E-5,-5.53157931367058E-7,20.278341293335,20.278341293335,99.8000946044922,99.8375930786133,55.3088156492943,20.2825589492836,2.27203440666199,0,0,0,80,20.3871459960938,2,4,1,2.21542358398438,40.5669593811035,,,,,,,,,,,,,,,,
,1153.1125,21.0929889678955,99.8188438415527,1.13687221908948E-5,1.48402212220622E-7,1,1.99850670813958,40.0298881530762,1.99482326461186,18.2199999690056,0.000129102573897506,1.83100537833336E-5,0.25,-4.29807193635977E-7,1.12233368641432E-5,-3.69190180219774E-7,21.0785427093506,21.0785427093506,99.8000946044922,99.8375930786133,55.6316282277367,20.2846167809486,2.57507658004761,0,0,0,80,21.1880378723145,2,4,1,2.21572875976562,41.5444793701172,,,,,,,,,,,,,,,,
,1201.0565,21.8879413604736,99.8000984191895,1.13592856003778E-5,1.50752878495054E-7,1,1.99850670813958,40.0298881530762,1.99486787501878,18.2199999690056,0.000129145976122638,1.74948505432306E-5,0.25,-5.00756283862509E-7,1.1214642846892E-5,-4.38974103302657E-7,21.8735828399658,21.8735828399658,99.7813491821289,99.81884765625,55.1290410898712,20.2831156698762,2.88417339324951,0,0,0,80,21.9815330505371,2,4,1,2.20657348632813,42.0332374572754,,,,,,,,,,,,,,,,
,1249.0365,22.684362411499,99.8282203674316,1.11134159050181E-5,1.70290147585062E-7,1,1.99850670813958,40.0298881530762,1.99486026496819,18.2199999690056,0.000126687769303985,1.52690495504421E-5,0.25,-6.54075082118342E-7,1.09730369459974E-5,-5.9116775189636E-7,22.6653156280518,22.6653156280518,99.8000946044922,99.8563461303711,55.4143354993905,20.2852205223243,3.21971893310547,0,0,0,80,22.7905006408691,2,4,1,2.2161865234375,43.0107536315918,,,,,,,,,,,,,,,,
,1296.9850,23.4797391891479,99.8188438415527,1.1542059868658E-5,1.4511964747375E-7,1,1.99850670813958,40.0298881530762,1.99489032621105,18.2199999690056,0.000131399575667041,1.68613379194626E-5,0.25,-5.90859200981003E-7,1.13962391280664E-5,-5.26257424494681E-7,23.4612483978271,23.4612483978271,99.8000946044922,99.8375930786133,55.6003630869674,20.2847517362944,3.51224565505981,0,0,0,80,23.5909824371338,2,4,1,2.21450805664062,43.49951171875,,,,,,,,,,,,,,,,
,1344.9685,24.2771196365356,99.8282203674316,1.13099814373424E-5,1.43488190585679E-7,1,1.99850670813958,40.0298881530762,1.99481325399571,18.2199999690056,0.000129139405876953,1.44130505692117E-5,0.25,-7.66465844928592E-7,1.11684893969501E-5,-7.00292608462725E-7,24.2577991485596,24.2577991485596,99.81884765625,99.8375930786133,55.781700903429,20.2851227687788,3.81624388694763,0,0,0,80,24.4013595581055,2,4,1,2.20626831054687,41.055721282959,,,,,,,,,,,,,,,,
,1392.9250,25.0762186050415,99.8563461303711,1.10937457316079E-5,1.35906248306312E-7,1,1.99850670813958,40.0298881530762,1.99486081760522,18.2199999690056,0.000126473413931834,1.52778571297297E-5,0.25,-6.51353440952027E-7,1.09549835297596E-5,-5.87228934238351E-7,25.0579299926758,25.0579299926758,99.81884765625,99.8938446044922,55.6097426291982,20.2867842878263,4.09188175201416,0,0,0,80,25.2031211853027,2,4,1,2.2174072265625,42.5219955444336,,,,,,,,,,,,,,,,
